payer_name,payer_alias,state_or_region,line_of_business,document_title,document_type,document_url,source_page_url,discovery_path,file_type,policy_number,effective_date,last_updated_date,http_status,content_hash_sha256,file_size_bytes,requires_auth,render_mode,extraction_method,confidence_score,scrape_timestamp_utc,notes
UPMC Health Plan,UPMC,PA,Multiple,Physician-Patient Communication Guidelines,other,https://www.upmchealthplan.com/docs/providers/physician_patient.pdf,https://www.upmchealthplan.com/providers/medical/resources/guidelines/quality-assurance,seed:upmchealthplan.com > robots.txt > seed_path:/providers/medical/resources > redirect:www.upmchealthplan.com > index:/providers/medical/resources > anchor[text~='Telehealth Guidelines'] > index:/providers/medical/resources/guidelines > anchor[text~='Learn About Quality Assurance Guidelines'] > index:/providers/medical/resources/guidelines/quality-assurance > anchor[href$='.pdf'],other,,,,404,,,N,static,css_selector,0.25,2026-09-07T06:08:21Z,non-200 response (HTTP 404); URL was discovered via anchor but did not serve a document; document could not be retrieved (http_status 404); row kept as evidence of the attempt
UPMC Health Plan,UPMC,PA,Multiple,Childhood Nutrition and Weight Management Services for Recipients Under 21 Years of Age,bulletin,https://www.upmchealthplan.com/docs/providers/childobesity_MAbulletin.pdf,https://www.upmchealthplan.com/providers/medical/resources/guidelines/epsdt-guidelines,seed:upmchealthplan.com > robots.txt > seed_path:/providers/medical/resources > redirect:www.upmchealthplan.com > index:/providers/medical/resources > anchor[text~='Telehealth Guidelines'] > index:/providers/medical/resources/guidelines > anchor[text~='Learn About EPSDT Clinical & Operatio...'] > index:/providers/medical/resources/guidelines/epsdt-guidelines > anchor[href$='.pdf'],other,,,,404,,,N,static,css_selector,0.25,2026-09-07T06:08:22Z,non-200 response (HTTP 404); URL was discovered via anchor but did not serve a document; document could not be retrieved (http_status 404); row kept as evidence of the attempt
UPMC Health Plan,UPMC,PA,Multiple,Autism Treatment Plan,other,https://www.upmchealthplan.com/docs/providers/Autism_Treatment_Plan.pdf,https://www.upmchealthplan.com/providers/medical/resources/forms/medical-pa,seed:upmchealthplan.com > robots.txt > seed_path:/providers/medical/resources > redirect:www.upmchealthplan.com > index:/providers/medical/resources > anchor[text~='Medical Prior Authorization'] > index:/providers/medical/resources/forms/medical-pa > anchor[href$='.pdf'],other,,,,404,,,N,static,css_selector,0.25,2026-09-07T06:08:23Z,non-200 response (HTTP 404); URL was discovered via anchor but did not serve a document; document could not be retrieved (http_status 404); row kept as evidence of the attempt
UPMC Health Plan,UPMC,PA,Multiple,Provider Satisfaction Results,other,https://www.upmchealthplan.com/docs/providers/Survey_Results.pdf,https://www.upmchealthplan.com/providers/medical/resources/guidelines/quality-assurance,seed:upmchealthplan.com > robots.txt > seed_path:/providers/medical/resources > redirect:www.upmchealthplan.com > index:/providers/medical/resources > anchor[text~='Telehealth Guidelines'] > index:/providers/medical/resources/guidelines > anchor[text~='Learn About Quality Assurance Guidelines'] > index:/providers/medical/resources/guidelines/quality-assurance > anchor[href$='.pdf'],other,,,,404,,,N,static,css_selector,0.25,2026-09-07T06:08:24Z,non-200 response (HTTP 404); URL was discovered via anchor but did not serve a document; document could not be retrieved (http_status 404); row kept as evidence of the attempt
UPMC Health Plan,UPMC,PA,Multiple,Minimum Data Set (MDS),other,https://www.upmchealthplan.com/docs/providers/MDS.pdf,https://www.upmchealthplan.com/providers/medical/resources/guidelines/quality-assurance,seed:upmchealthplan.com > robots.txt > seed_path:/providers/medical/resources > redirect:www.upmchealthplan.com > index:/providers/medical/resources > anchor[text~='Telehealth Guidelines'] > index:/providers/medical/resources/guidelines > anchor[text~='Learn About Quality Assurance Guidelines'] > index:/providers/medical/resources/guidelines/quality-assurance > anchor[href$='.pdf'],other,,,,404,,,N,static,css_selector,0.25,2026-09-07T06:08:26Z,non-200 response (HTTP 404); URL was discovered via anchor but did not serve a document; document could not be retrieved (http_status 404); row kept as evidence of the attempt
UPMC Health Plan,UPMC,PA,Commercial,informational presentation,other,https://www.upmchealthplan.com/docs/providers/Identifying_and_Reporting_Fraud_Waste_Abuse.pdf,https://www.upmchealthplan.com/providers/medical/resources/guidelines/quality-assurance,seed:upmchealthplan.com > robots.txt > seed_path:/providers/medical/resources > redirect:www.upmchealthplan.com > index:/providers/medical/resources > anchor[text~='Telehealth Guidelines'] > index:/providers/medical/resources/guidelines > anchor[text~='Learn About Quality Assurance Guidelines'] > index:/providers/medical/resources/guidelines/quality-assurance > anchor[href$='.pdf'],other,,,,404,,,N,static,css_selector,0.25,2026-09-07T06:08:26Z,non-200 response (HTTP 404); URL was discovered via anchor but did not serve a document; document could not be retrieved (http_status 404); row kept as evidence of the attempt
UPMC Health Plan,UPMC,PA,Multiple,CMS 1500 Form,other,https://www.upmchealthplan.com/docs/providers/CMS_1500_form.pdf,https://www.upmchealthplan.com/providers/medical/resources/guidelines/epsdt-guidelines,seed:upmchealthplan.com > robots.txt > seed_path:/providers/medical/resources > redirect:www.upmchealthplan.com > index:/providers/medical/resources > anchor[text~='Telehealth Guidelines'] > index:/providers/medical/resources/guidelines > anchor[text~='Learn About EPSDT Clinical & Operatio...'] > index:/providers/medical/resources/guidelines/epsdt-guidelines > anchor[href$='.pdf'],other,,,,404,,,N,static,css_selector,0.25,2026-09-07T06:08:27Z,non-200 response (HTTP 404); URL was discovered via anchor but did not serve a document; document could not be retrieved (http_status 404); row kept as evidence of the attempt
UPMC Health Plan,UPMC,PA,Multiple,Childhood Nutrition and Weight Management Services Reminder,other,https://www.upmchealthplan.com/docs/providers/PROMISE_provquicktip.pdf,https://www.upmchealthplan.com/providers/medical/resources/guidelines/epsdt-guidelines,seed:upmchealthplan.com > robots.txt > seed_path:/providers/medical/resources > redirect:www.upmchealthplan.com > index:/providers/medical/resources > anchor[text~='Telehealth Guidelines'] > index:/providers/medical/resources/guidelines > anchor[text~='Learn About EPSDT Clinical & Operatio...'] > index:/providers/medical/resources/guidelines/epsdt-guidelines > anchor[href$='.pdf'],other,,,,404,,,N,static,css_selector,0.25,2026-09-07T06:08:28Z,non-200 response (HTTP 404); URL was discovered via anchor but did not serve a document; document could not be retrieved (http_status 404); row kept as evidence of the attempt
Highmark,Highmark,PA|WV|DE|NY,Medicare,Preferred Products for Medicare Advantage,medical_policy,https://providers.highmark.com/content/dam/highmark/en/providerresourcecenter/pdfs/all/documents/pdfs/policies-and-programs/medical-policies/preferred-products-for-medicare-advantage.pdf,https://securecms.highmark.com/content/medpolicy/en/highmark/pa/commercial/navigation/evicore-clinical-guidelines.html,seed:highmark.com > robots.txt > seed_path:https://securecms.highmark.com/content/medpolicy/en/highmark/pa/commercial.html > index:/content/medpolicy/en/highmark/pa/commercial.html > anchor[text~='Licensed Criteria'] > index:/content/medpolicy/en/highmark/pa/commercial/navigation/e... > anchor[href$='.pdf'],pdf,,,,200,dd9c7e4bb7c0bfd562b2b668f20e9900714fe3f987ec9ae42a0b5441e1e8284e,252887,N,static,css_selector|pdf_text,0.86,2026-09-07T06:09:52Z,
Highmark,Highmark,PA|WV|DE|NY,Commercial,Highmark Inc. Policy Protecting Competitively Sensitive Information,medical_policy,https://highmark.com/content/dam/digital-marketing/en/highmark/highmarkdotcom/pdfs/CSIPolicy.pdf,https://highmark.com/western-pennsylvania/medical-policy,seed:highmark.com > robots.txt > seed_path:/western-pennsylvania/medical-policy > index:/western-pennsylvania/medical-policy > anchor[href$='.pdf'],pdf,,,2017-01-23,200,6cec0aab331015274eef46d91b75b0f1d310c9ae3392cf4551c4f958f2aaa545,57118,N,static,css_selector|pdf_text|regex,0.89,2026-09-07T06:09:47Z,collapsed 1 near-duplicate URL(s) under the 'content_hash' rule (e.g. https://www.highmark.com/content/dam/digital-marketing/en/highmark/highmarkdotcom/pdfs/CSIPolicy.pdf)
